품목보고번호,허가일자,LAST_UPDT_DTM,LCNS_NO,제품명,QLITY_MNTNC_TMLMT_DAYCNT,업소명,식품유형,CHILD_CRTFC_YN,INDUTY_CD_NM,DISPOS,포장재질,USAGE,ETQTY_XPORT_PRDLST_YN,유통기한,HIENG_LNTRT_DVS_NM,PRODUCTION,PRPOS
19780614001438 ,20191231,20240116,19780614001 ,델몬트포도드링크,,롯데칠성음료(주),혼합음료,,식품제조가공업,고유의 색택과 향미를 지닌 액상식품,종이팩,제품 그대로 음용한다,O,제조일로부터 9개월,아니오,아니오,
19930571069552 ,20191226,20191227,19930571069 ,오하루 자연가득 유기농레드비트즙,,주식회사 신생활식품,과.채주스,,식품제조가공업,고유의 색택과 향미를 가진 액상으로 이미？이취가 없는 붉은색 액상음료.,"용기:폴리에틸렌테레프탈레이트(PET), 뚜껑:폴리프로필렌(PP)",과·채주스로써 직접 음용한다.,N,제조일로부터 18개월,해당없음,아니오,
19730380010394 ,20191223,20230610,19730380010 ,6년근 발효홍삼진액 에브리데이,제조일부터     2 년,(주)일화춘천공장,인삼.홍삼음료,,식품제조가공업,고유의 향미가 있고 이미 이취가 없는  액상,내포장재질: PP,"1일 1회, 1회 1포 섭취",O,제조일부터     2 년,해당없음,아니오,
19810227007457 ,20191220,20191225,19810227007 ,썬업 과일야채샐러드 퍼플,,매일유업(주)광주공장,과.채주스,,식품제조가공업,"짙은 보라색의 불투명한 액상, 제품은 고유의 색택을 가지고 이미.이취가 없어야 한다.",테트라팩(폴리에틸렌),그대로 직접 음용 한다.,O,제조일로부터 6개월,해당없음,아니오,
19930571069551 ,20191220,20191225,19930571069 ,유기농레드비트즙,,주식회사 신생활식품,과.채주스,,식품제조가공업,고유의 색택과 향미를 가진 액상으로 이미？이취가 없는 붉은색 액상음료.,"용기:폴리에틸렌테레프탈레이트(PET), 뚜껑:폴리프로필렌(PP)",과·채주스로써 직접 음용한다.,N,제조일로부터 18개월,해당없음,아니오,
20000441043241 ,20191220,20210107,20000441043 ,썬업 파인애플 Pineapple,,매일유업(주)영동공장,과.채주스,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로 이미, 이취가 없어야 한다.","PET, 뚜껑-HDPE",그대로 직접 음용 한다,O,제조일로부터 56일 (냉장보관),해당없음,아니오,
20000441043242 ,20191220,20210107,20000441043 ,썬업 오렌지 Orange,,매일유업(주)영동공장,과.채주스,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로 이미, 이취가 없어야 한다.","PET, 뚜껑-HDPE",그대로 직접 음용 한다.,O,제조일로부터 56일 (냉장보관),해당없음,아니오,
20000441043243 ,20191220,20210109,20000441043 ,썬업 사과 Apple,,매일유업(주)영동공장,과.채주스,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로 이미, 이취가 없어야 한다.","PET, 뚜껑-HDPE",그대로 직접 음용 한다,O,제조일로부터 56일 (냉장보관),해당없음,아니오,
19730380010392 ,20191210,20230610,19730380010 ,일화 청포도에이드,제조일로부터 12개월,(주)일화춘천공장,혼합음료,,식품제조가공업,"고유의 향미가 있고 이미,이취가 없는 연두~녹색의 액상",파우치(PP),"제품 그대로 섭취하거나 얼음에 희석하여 섭취(최종제품), 수시로 음용",O,제조일로부터 12개월,해당없음,아니오,
1973028800641 ,20191206,20240602,19730288006 ,데미소다 청포도,,동아오츠카(주),탄산음료,,식품제조가공업,"제품 고유의 색택과 향미를 지닌 액상으로 이미, 이취가 없어야 한다.",알루미늄캔,개봉후 직접 음용한다,N,제조일로부터 24개월,아니오,아니오,
19780368002595 ,20191203,20240831,19780368002 ,유기농적포도&보라당근,,롯데칠성음료(주),과.채주스,Y,식품제조가공업,고유의 색택과 향미를 지닌 액상식품,종이팩,제품 그대로 음용한다,N,제조일로부터 6개월,아니오,아니오,
197304430031064 ,20191127,20191129,19730443003 ,자몽S,제조일로부터 24개월,(주)삼광식품,음료베이스,,식품제조가공업,점조한 액상,"용기 : 유리병,   뚜껑재질  : 염화비닐수지","음료, 제과, 제빵, 떡",O,제조일로부터 24개월,해당없음,아니오,
1976026300487 ,20191120,20200814,19760263004 ,유기농주스 덴마크목장 사과·푸룬,,(주)동원F&B수원공장,과.채주스,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로서 이미, 이취가 없음",폴리에틸렌,직접음용,N,제조일로부터 8개월,해당없음,아니오,
19810308046188 ,20191120,20210320,19810308046 ,썬업 과일야채샐러드 그린,,매일유업(주)평택공장,과.채주스,,식품제조가공업,녹황색의 불투명한 액상 / 제품은 고유의 색택을 가지고 이미.이취가 없어야 한다.,PP-Cup(폴리프로필렌),그대로 직접 음용 한다.,N,제조일로부터 63일(0∼10℃),해당없음,아니오,
19880607021247 ,20191115,20211201,19880607021 ,셀플렉스 닝샤 고지베리,,(주)케이지앤에프,과.채주스,,식품제조가공업,"액체 형태로 고유의 특징과 향을 가지며, 이미 이취가 없어야한다","폴리에틸렌(PE), 고밀도 폴리에틸렌(HDPE)","1일 1회, 1회 1포 섭취",O,제조일로부터 24개월,해당없음,아니오,
19910512116161 ,20191101,20191105,19910512116 ,청미래 나주 도라지배즙,,(주)가보팜스,과.채주스,,식품제조가공업,액체식품,PE,그대로 음용,N,제조일로부터 1년,해당없음,아니오,
